Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.22 18:00:00,3_11394870778E-07
2024.08.22 19:00:00,3_14046047833E-07
2024.08.22 20:00:00,3_17082339052E-07
2024.08.22 21:00:00,3_20383094277E-07
2024.08.22 22:00:00,3_24149084463E-07
2024.08.22 23:00:00,3_27755628859E-07
2024.08.23 00:00:00,3_31345574978E-07
2024.08.23 01:00:00,3_35025021059E-07
2024.08.23 02:00:00,3_39046948739E-07
2024.08.23 03:00:00,3_43504865441E-07
2024.08.23 04:00:00,3_48434724629E-07
2024.08.23 05:00:00,3_53237339823E-07
2024.08.23 06:00:00,3_57925017624E-07
2024.08.23 07:00:00,3_62111961749E-07
2024.08.23 08:00:00,3_6518170532E-07
2024.08.23 09:00:00,3_67358211406E-07
2024.08.23 10:00:00,3_69513031728E-07
2024.08.23 11:00:00,3_72026363493E-07
2024.08.23 12:00:00,3_74547028059E-07
2024.08.23 13:00:00,3_77023610554E-07
2024.08.23 14:00:00,3_79421948082E-07
2024.08.23 15:00:00,3_82019067047E-07
2024.08.23 16:00:00,3_85539237868E-07
2024.08.23 17:00:00,3_89097436937E-07
2024.08.23 18:00:00,3_93116181385E-07
2024.08.23 19:00:00,3_98024639026E-07
2024.08.23 20:00:00,4_03302948371E-07
2024.08.23 21:00:00,4_07607046782E-07
2024.08.23 22:00:00,4_11867063121E-07
2024.08.23 23:00:00,4_16722372165E-07
2024.08.24 00:00:00,4_22371670084E-07
2024.08.24 01:00:00,4_28699991062E-07
2024.08.24 02:00:00,4_34737614796E-07
2024.08.24 03:00:00,4_40648989297E-07
2024.08.24 04:00:00,4_46614677685E-07
2024.08.24 05:00:00,4_52701669929E-07
2024.08.24 06:00:00,4_59133332242E-07
2024.08.24 07:00:00,4_65733052124E-07
2024.08.24 08:00:00,4_72142147601E-07
2024.08.24 09:00:00,4_77486310047E-07
2024.08.24 10:00:00,4_82747338992E-07
2024.08.24 11:00:00,4_88475734528E-07
2024.08.24 12:00:00,4_94742721457E-07
2024.08.24 13:00:00,5_01691829413E-07
2024.08.24 14:00:00,5_08895936946E-07
2024.08.24 15:00:00,5_21447134361E-07
2024.08.24 16:00:00,5_32994079094E-07
2024.08.24 17:00:00,5_46951525848E-07
2024.08.24 18:00:00,5_5574361113E-07
2024.08.24 19:00:00,5_61901174478E-07
2024.08.24 20:00:00,5_6848193708E-07
2024.08.24 21:00:00,5_72956082578E-07
2024.08.24 22:00:00,5_78211256652E-07
2024.08.24 23:00:00,5_83353369166E-07
2024.08.25 00:00:00,5_87550630371E-07
2024.08.25 01:00:00,5_92754872741E-07
2024.08.25 02:00:00,5_97878226927E-07
2024.08.25 03:00:00,6_02455827448E-07
2024.08.25 04:00:00,6_07045194556E-07
2024.08.25 05:00:00,6_12044345871E-07
2024.08.25 06:00:00,6_17139960468E-07
2024.08.25 07:00:00,6_2265746692E-07
2024.08.25 08:00:00,6_28388647783E-07
2024.08.25 09:00:00,6_34173034086E-07
2024.08.25 10:00:00,6_39927066004E-07
2024.08.25 11:00:00,6_45689397061E-07
2024.08.25 12:00:00,6_51186610412E-07
2024.08.25 13:00:00,6_56177633118E-07
2024.08.25 14:00:00,6_60720047563E-07
2024.08.25 15:00:00,6_66688322326E-07
2024.08.25 16:00:00,6_72188434692E-07
2024.08.25 17:00:00,6_78594517467E-07
2024.08.25 18:00:00,6_8588093427E-07
2024.08.25 19:00:00,6_93174740718E-07
2024.08.25 20:00:00,7_00872931247E-07
2024.08.25 21:00:00,7_08918150849E-07
2024.08.25 22:00:00,7_17415559848E-07
2024.08.25 23:00:00,7_26457358269E-07
2024.08.26 00:00:00,7_35439414257E-07
