Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.23 19:00:00,1.01479008663E-05
2024.08.23 20:00:00,1.0256184396E-05
2024.08.23 21:00:00,1.03951597339E-05
2024.08.23 22:00:00,1.05433164208E-05
2024.08.23 23:00:00,1.06907809823E-05
2024.08.24 00:00:00,1.08359381557E-05
2024.08.24 01:00:00,1.09703705675E-05
2024.08.24 02:00:00,1.10897972263E-05
2024.08.24 03:00:00,1.11965491669E-05
2024.08.24 04:00:00,1.12964171421E-05
2024.08.24 05:00:00,1.13786745715E-05
2024.08.24 06:00:00,1.14570866572E-05
2024.08.24 07:00:00,1.15359607662E-05
2024.08.24 08:00:00,1.16207684187E-05
2024.08.24 09:00:00,1.17184854389E-05
2024.08.24 10:00:00,1.1848676877E-05
2024.08.24 11:00:00,1.20392305689E-05
2024.08.24 12:00:00,1.23037088997E-05
2024.08.24 13:00:00,1.26246504806E-05
2024.08.24 14:00:00,1.29565878524E-05
2024.08.24 15:00:00,1.34893471113E-05
2024.08.24 16:00:00,1.44858613567E-05
2024.08.24 17:00:00,1.57246686285E-05
2024.08.24 18:00:00,1.68494534591E-05
2024.08.24 19:00:00,1.76329558599E-05
2024.08.24 20:00:00,1.81217601494E-05
2024.08.24 21:00:00,1.83461743291E-05
2024.08.24 22:00:00,1.84373620868E-05
2024.08.24 23:00:00,1.85321950994E-05
2024.08.25 00:00:00,1.85787266673E-05
2024.08.25 01:00:00,1.85943499673E-05
2024.08.25 02:00:00,1.85241369763E-05
2024.08.25 03:00:00,1.84178024938E-05
2024.08.25 04:00:00,1.82999028766E-05
2024.08.25 05:00:00,1.81125706149E-05
2024.08.25 06:00:00,1.78229056473E-05
2024.08.25 07:00:00,1.74860706466E-05
2024.08.25 08:00:00,1.71664069057E-05
2024.08.25 09:00:00,1.68859860423E-05
2024.08.25 10:00:00,1.66638346855E-05
2024.08.25 11:00:00,1.64421398949E-05
2024.08.25 12:00:00,1.62167543749E-05
2024.08.25 13:00:00,1.60078689078E-05
2024.08.25 14:00:00,1.58090024343E-05
2024.08.25 15:00:00,1.55969100888E-05
2024.08.25 16:00:00,1.53529927047E-05
2024.08.25 17:00:00,1.51016420205E-05
2024.08.25 18:00:00,1.4845683836E-05
2024.08.25 19:00:00,1.45547301145E-05
2024.08.25 20:00:00,1.42014741868E-05
2024.08.25 21:00:00,1.38273289849E-05
2024.08.25 22:00:00,1.34616893774E-05
2024.08.25 23:00:00,1.3144543118E-05
2024.08.26 00:00:00,1.28808314912E-05
