Time [yyyy.MM.dd HH:mm:ss],dTR1 [g/m3]
2024.08.23 11:00:00,2_24050618272E-05
2024.08.23 12:00:00,2_23709048441E-05
2024.08.23 13:00:00,2_23540846491E-05
2024.08.23 14:00:00,2_22840953938E-05
2024.08.23 15:00:00,2_2272917704E-05
2024.08.23 16:00:00,2_22576982196E-05
2024.08.23 17:00:00,2_22467751883E-05
2024.08.23 18:00:00,2_22142498387E-05
2024.08.23 19:00:00,2_21697773668E-05
2024.08.23 20:00:00,2_21302998398E-05
2024.08.23 21:00:00,2_20889087359E-05
2024.08.23 22:00:00,2_20778874791E-05
2024.08.23 23:00:00,2_20485417231E-05
2024.08.24 00:00:00,2_20177062147E-05
2024.08.24 01:00:00,2_19848498091E-05
2024.08.24 02:00:00,2_19574321818E-05
2024.08.24 03:00:00,2_19242137973E-05
2024.08.24 04:00:00,2_18932764255E-05
2024.08.24 05:00:00,2_1859899789E-05
2024.08.24 06:00:00,2_1819379981E-05
2024.08.24 07:00:00,2_17807428271E-05
2024.08.24 08:00:00,2_17437354877E-05
2024.08.24 09:00:00,2_1708152417E-05
2024.08.24 10:00:00,2_1672269213E-05
2024.08.24 11:00:00,2_16697008E-05
2024.08.24 12:00:00,2_16515636566E-05
2024.08.24 13:00:00,2_16189073399E-05
2024.08.24 14:00:00,2_15744603338E-05
2024.08.24 15:00:00,2_15349646169E-05
2024.08.24 16:00:00,2_1548839868E-05
2024.08.24 17:00:00,2_15329619095E-05
2024.08.24 18:00:00,2_14832507481E-05
2024.08.24 19:00:00,2_14159736061E-05
2024.08.24 20:00:00,2_12092472793E-05
2024.08.24 21:00:00,2_10882571992E-05
2024.08.24 22:00:00,2_10974249057E-05
2024.08.24 23:00:00,2_10742982745E-05
2024.08.25 00:00:00,2_09929148696E-05
2024.08.25 01:00:00,2_09570189327E-05
2024.08.25 02:00:00,2_09205827559E-05
2024.08.25 03:00:00,2_0863415557E-05
2024.08.25 04:00:00,2_07864904951E-05
